Title,Date,Duration
Star Wars: Episode III - Revenge of the Sith,2005-05-17,140
Star Wars: Episode II - Attack of the Clones,2002-05-15,142
"Monsters, Inc.",2001-11-01,92
The Wolverine,2013-07-23,126
Star Wars: Episode I - The Phantom Menace,1999-05-19,136
The Croods,2013-03-20,98
The Huntsman: Winter's War,2016-04-06,114
Teenage Mutant Ninja Turtles,2014-08-07,101
Gravity,2013-09-27,91
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01,112
Fantastic Four,2015-08-05,100
San Andreas,2015-05-27,114
Tomorrow Never Dies,1997-12-11,119
Ocean's Twelve,2004-12-09,125
Insurgent,2015-03-18,119
The Green Hornet,2011-01-12,119
300: Rise of an Empire,2014-03-05,102
The Smurfs,2011-07-29,103
Home on the Range,2004-04-02,76
Allegiant,2016-03-09,121
Real Steel,2011-09-28,127
The Smurfs 2,2013-07-30,105
Ender's Game,2013-10-23,114
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,178
Kingdom of Heaven,2005-05-03,144
The Princess and the Frog,2009-12-08,97
The Martian,2015-09-30,141
The Island,2005-07-20,136
Casino Royale,2006-11-14,144
Public Enemies,2009-07-01,140
American Gangster,2007-11-02,157
The Taking of Pelham 1 2 3,2009-06-11,106
Little Fockers,2010-12-21,98
The Other Guys,2010-08-06,107
Eraser,1996-06-21,115
Django Unchained,2012-12-25,165
The Expendables 2,2012-08-08,103
Eragon,2006-12-14,104
Where the Wild Things Are,2009-10-16,101
The Tourist,2010-12-08,103
End of Days,1999-11-24,121
The Wolf of Wall Street,2013-12-25,180
Cloud Atlas,2012-10-26,172
Legend of the Guardians: The Owls of Ga'Hoole,2010-07-10,97
The Expendables 3,2014-08-04,127
Point Break,2015-12-03,114
In the Heart of the Sea,2015-11-20,122
Green Zone,2010-03-11,115
The Peanuts Movie,2015-11-05,88
Gangs of New York,2002-12-14,167
Surf's Up,2007-06-08,85
Sex and the City 2,2010-05-26,146
Ice Age: Continental Drift,2012-06-26,88
Cinderella,2015-03-12,105
The Lovely Bones,2009-12-26,136
Finding Nemo,2003-05-30,100
The Lord of the Rings: The Return of the King,2003-12-01,201
The Lord of the Rings: The Two Towers,2002-12-18,179
Seventh Son,2014-12-12,102
Rise of the Planet of the Apes,2011-08-03,105
A Good Day to Die Hard,2013-02-06,98
The Incredibles,2004-11-05,115
Men in Black,1997-07-02,98
Toy Story 2,1999-10-30,92
Cloudy with a Chance of Meatballs,2009-09-17,90
Ice Age: Dawn of the Dinosaurs,2009-06-29,94
The Departed,2006-10-05,151
Tropic Thunder,2008-08-09,107
The Girl with the Dragon Tattoo,2011-12-14,158
Sherlock Holmes,2009-12-23,128
Ben-Hur,2016-08-17,125
Atlantis: The Lost Empire,2001-06-02,95
Alvin and the Chipmunks: The Road Chip,2015-12-17,92
You Don't Mess with the Zohan,2008-06-05,113
Pixels,2015-07-16,105
Contact,1997-07-11,150
The Interpreter,2005-04-08,128
Percy Jackson: Sea of Monsters,2013-08-07,106
Now You See Me 2,2016-06-02,129
Rio,2011-04-03,96
Cinderella Man,2005-06-02,144
Seabiscuit,2003-07-22,141
Happy Feet,2006-11-16,108
The Bourne Supremacy,2004-07-23,108
Ocean's Eleven,2001-12-07,116
The Three Musketeers,2011-08-31,110
Hotel Transylvania,2012-09-20,91
Enchanted,2007-11-20,107
Safe House,2012-02-09,115
Tower Heist,2011-11-02,104
The Holiday,2006-12-08,136
It's Complicated,2009-12-23,121
Ocean's Thirteen,2007-06-07,122
Open Season,2006-09-29,83
Divergent,2014-03-14,139
The Rundown,2003-09-26,104
Memoirs of a Geisha,2005-12-06,145
The Fast and the Furious: Tokyo Drift,2006-06-03,104
Arthur Christmas,2011-02-22,97
Meet Joe Black,1998-11-12,178
Collateral Damage,2002-02-06,108
Scott Pilgrim vs. the World,2010-07-27,112
Dredd,2012-09-07,95
Cats & Dogs 2 : The Revenge of Kitty Galore,2010-07-30,82
Jumper,2008-02-10,88
Bruce Almighty,2003-05-23,101
The Expendables,2010-08-03,103
Mission: Impossible,1996-05-22,110
The Hunger Games,2012-03-12,142
The Hangover Part II,2011-05-25,102
RED 2,2013-07-18,116
Alvin and the Chipmunks: Chipwrecked,2011-12-14,87
Grown Ups 2,2013-07-11,100
Get Smart,2008-06-19,110
Shutter Island,2010-02-18,138
Just Go with It,2011-02-10,117
Space Jam,1996-11-15,88
Yogi Bear,2010-12-11,80
Zookeeper,2011-07-06,102
The Time Machine,2002-03-04,96
The Legend of Zorro,2005-10-24,129
Mars Attacks!,1996-12-12,106
Surrogates,2009-09-24,89
Walking With Dinosaurs,2013-12-18,87
Nine,2009-12-03,112
The Last Witch Hunter,2015-10-21,106
Oceans,2009-10-17,84
A Sound of Thunder,2005-05-15,110
A Beautiful Mind,2001-12-11,135
The Lion King,1994-06-23,89
Journey 2: The Mysterious Island,2012-01-19,94
Jack and Jill,2011-11-11,91
The Little Prince,2015-07-29,92
The Secret Life of Pets,2016-06-18,87
Despicable Me 2,2013-06-25,98
Children of Men,2006-09-22,109
Wanted,2008-06-19,110
Ice Age: The Meltdown,2006-03-23,91
Hairspray,2007-07-13,117
Grown Ups,2010-06-24,102
The Terminal,2004-06-17,128
Vertical Limit,2000-12-08,124
Charlie Wilson's War,2007-12-19,102
Dreamgirls,2006-12-25,134
Killers,2010-06-04,100
Monster House,2006-07-21,91
Immortals,2011-11-10,110
Soldier,1998-10-23,99
Minions,2015-06-17,91
Sucker Punch,2011-03-24,110
Sphere,1998-02-13,134
The Angry Birds Movie,2016-05-11,97
Fool's Gold,2008-02-07,112
Funny People,2009-07-31,146
The Kingdom,2007-08-22,110
Talladega Nights: The Ballad of Ricky Bobby,2006-08-04,116
The Simpsons Movie,2007-07-25,87
Shrek 2,2004-05-19,93
Cars,2006-06-08,117
xXx,2002-08-09,124
The SpongeBob Movie: Sponge Out of Water,2015-02-05,93
Inglourious Basterds,2009-08-18,153
S.W.A.T.,2003-08-08,117
AVP: Alien vs. Predator,2004-08-12,101
Alvin and the Chipmunks: The Squeakquel,2009-12-21,88
Battle: Los Angeles,2011-03-08,116
War Horse,2011-12-25,146
The Monuments Men,2014-01-24,118
Wall Street: Money Never Sleeps,2010-09-02,133
Stardust,2007-08-09,127
The Dilemma,2011-01-13,111
Underworld: Awakening,2012-01-19,88
Rock of Ages,2012-06-13,123
Osmosis Jones,2001-08-07,95
Legends of Oz: Dorothy's Return,2013-06-13,88
Blackhat,2015-01-13,133
Sky Captain and the World of Tomorrow,2004-09-17,107
Escape Plan,2013-10-09,115
The Sum of All Fears,2002-05-31,124
The Twilight Saga: Eclipse,2010-06-23,124
Despicable Me,2010-07-08,95
Agora,2009-05-17,127
Hall Pass,2011-02-25,105
The Finest Hours,2016-01-25,114
Body of Lies,2008-10-10,128
Dinner for Schmucks,2010-07-30,114
Entrapment,1999-04-29,112
Ice Age,2002-03-10,81
Dreamcatcher,2003-03-21,136
The Matrix,1999-03-30,136
Les Misérables,2012-12-18,157
You've Got Mail,1998-12-17,119
Due Date,2010-11-04,95
Unbroken,2014-12-25,137
Space Cowboys,2000-07-31,130
The Kid,2000-07-07,104
The Dictator,2012-05-15,83
Eyes Wide Shut,1999-07-14,159
Focus,2015-02-25,105
This Means War,2012-02-14,103
Blade: Trinity,2004-12-08,123
Resident Evil: Retribution,2012-09-12,95
Death Race,2008-08-22,105
Fight Club,1999-10-15,139
"I, Frankenstein",2014-01-22,92
Elektra,2005-01-13,97
Sin City: A Dame to Kill For,2014-08-20,102
Everest,2015-09-10,121
Perfume: The Story of a Murderer,2006-09-13,147
Austin Powers in Goldmember,2002-07-26,94
Astro Boy,2009-10-15,94
Jurassic Park,1993-06-11,127
Little Man,2006-08-31,98
U-571,2000-04-20,116
The Love Guru,2008-06-20,87
The Hateful Eight,2015-12-25,167
Hop,2011-03-30,95
300,2006-12-09,117
Meet the Fockers,2004-12-22,115
Marley & Me,2008-12-25,115
The Green Mile,1999-12-10,189
Wild Hogs,2007-03-02,100
Chicken Little,2005-11-04,81
Gone Girl,2014-10-01,145
The Bourne Identity,2002-06-14,119
GoldenEye,1995-11-16,130
2 Guns,2013-08-02,109
Cats & Dogs,2001-07-04,87
The Italian Job,2003-05-30,110
Couples Retreat,2009-09-19,113
Maze Runner: The Scorch Trials,2015-09-09,132
Eat Pray Love,2010-08-12,133
The Scorpion King,2002-04-16,92
Jack Reacher,2012-12-20,130
Michael Jackson's This Is It,2009-10-28,111
Contagion,2011-09-08,106
Coraline,2009-02-05,100
The Happening,2008-06-11,91
The Shaggy Dog,2006-03-09,98
Hellboy,2004-04-02,122
ParaNorman,2012-08-03,90
The Tale of Despereaux,2008-12-19,93
London Has Fallen,2016-03-02,99
Shooter,2007-03-22,124
The Lego Movie,2014-02-06,100
Gangster Squad,2013-01-10,113
Invictus,2009-12-10,134
State of Play,2009-04-17,127
Duplicity,2009-03-19,125
Planet 51,2009-11-19,91
Trouble with the Curve,2012-09-21,111
Righteous Kill,2008-09-11,101
The Soloist,2009-04-24,109
xXx: State of the Union,2005-04-27,101
Priest,2011-05-05,87
Winter's Tale,2014-02-13,118
The Mortal Instruments: City of Bones,2013-08-21,130
Meet Dave,2008-07-08,90
Inkheart,2008-12-11,106
The Spirit,2008-12-25,103
Mortdecai,2015-01-21,106
In the Name of the King: A Dungeon Siege Tale,2007-11-29,127
Deadpool,2016-02-09,108
American Sniper,2014-12-11,133
Goosebumps,2015-08-05,103
The Flintstones in Viva Rock Vegas,2000-04-28,90
Leatherheads,2008-03-24,114
The Internship,2013-06-07,119
Resident Evil: Afterlife,2010-09-09,97
Red Tails,2012-01-19,125
That's My Boy,2012-06-14,116
After the Sunset,2004-11-12,97
Ghost Rider: Spirit of Vengeance,2011-12-10,95
The Pacifier,2005-03-04,95
